time,current bs,availability,cio,hyst,ttt
0.0,2,1.0,0.0,1.0,0.08
1.0,2,1.0,0.0,1.0,0.08
2.0,2,1.0,0.0,1.0,0.08
3.0,2,1.0,0.0,1.0,0.08
4.0,2,1.0,0.0,1.0,0.08
5.0,2,1.0,0.0,1.0,0.08
6.0,2,1.0,0.0,1.0,0.08
7.0,2,1.0,0.0,1.0,0.08
8.0,2,1.0,0.0,1.0,0.08
9.0,2,1.0,0.0,1.0,0.08
10.0,2,1.0,0.0,1.0,0.08
11.0,2,1.0,0.0,1.0,0.08
12.0,2,1.0,0.0,1.0,0.08
13.0,2,1.0,0.0,1.0,0.08
14.0,2,1.0,0.0,1.0,0.08
15.0,2,1.0,0.0,1.0,0.08
16.0,2,1.0,0.0,1.0,0.08
17.0,2,1.0,0.0,1.0,0.08
18.0,2,1.0,0.0,1.0,0.08
19.0,2,1.0,0.0,1.0,0.08
20.0,2,1.0,0.0,1.0,0.08
21.0,2,0.99,0.0,1.0,0.08
22.0,2,0.97,0.0,1.0,0.08
23.0,2,0.97,0.0,1.0,0.08
24.0,2,0.34,1.5,1.0,0.08
25.0,2,0.31,1.5,1.0,0.08
26.0,2,0.29,1.5,1.0,1.024
27.0,2,0.0,1.5,1.0,1.024
28.0,2,0.3,1.5,1.0,0.512
29.0,2,0.32,1.5,1.0,0.512
30.0,2,0.33,1.5,1.0,0.64
31.0,2,0.31,1.5,1.0,0.512
32.0,2,0.0,1.5,1.0,0.512
33.0,2,0.3,1.5,1.0,0.64
34.0,2,0.0,1.5,1.0,0.512
35.0,2,0.0,1.5,1.0,0.512
36.0,2,0.02,3.5,1.0,0.512
37.0,2,0.0,3.5,1.0,0.512
38.0,2,0.0,3.5,1.0,0.64
39.0,2,0.0,3.5,1.0,0.512
40.0,2,0.0,3.5,1.0,0.64
41.0,2,0.0,3.5,1.0,0.64
42.0,2,0.0,3.5,1.0,0.64
43.0,2,0.0,3.5,1.0,0.64
44.0,2,0.0,3.5,1.0,1.024
45.0,2,0.0,3.5,1.0,1.024
46.0,2,0.0,3.5,1.0,1.024
47.0,2,0.0,3.5,1.0,1.024
48.0,2,0.0,3.5,1.0,1.024
49.0,2,0.0,3.5,1.0,1.024
50.0,2,0.0,3.5,1.0,1.024
51.0,2,0.0,3.5,1.0,1.024
52.0,2,0.0,3.5,1.0,1.024
53.0,2,0.0,3.5,1.0,1.024
54.0,2,0.0,3.5,1.0,1.024
55.0,2,0.0,3.5,1.0,1.024
56.0,2,0.01,3.5,1.0,1.024
57.0,2,0.01,3.5,1.0,0.64
58.0,2,0.0,3.5,1.0,1.024
59.0,2,0.39,3.5,1.0,1.024
60.0,2,0.0,3.5,1.0,1.024
61.0,2,0.4,3.5,1.0,1.024
62.0,2,0.0,3.5,1.0,1.024
63.0,2,0.0,3.5,1.0,1.024
64.0,2,0.0,3.5,1.0,1.024
65.0,2,0.35,3.5,1.0,1.024
66.0,2,0.35,2.5,1.0,1.024
67.0,2,0.0,2.5,1.0,1.024
68.0,2,0.0,2.5,1.0,1.024
69.0,2,0.0,2.5,1.0,1.024
70.0,2,0.0,2.5,1.0,1.024
71.0,2,0.0,3.5,1.0,1.024
72.0,2,0.4,3.5,1.0,1.024
73.0,2,0.0,3.5,1.0,1.024
74.0,2,0.0,3.5,1.0,1.024
75.0,2,0.07,3.5,1.0,1.024
76.0,2,0.0,3.5,1.0,1.024
77.0,2,0.28,3.5,1.0,1.024
78.0,2,0.0,3.5,1.0,1.024
79.0,2,0.38,3.5,1.0,1.024
