time,current bs,availability,cio,hyst,ttt
0.0,4,1.0,0.0,1.0,0.08
1.0,4,1.0,0.0,1.0,0.08
2.0,4,1.0,0.0,1.0,0.08
3.0,4,1.0,0.0,1.0,0.08
4.0,4,1.0,0.0,1.0,0.08
5.0,4,1.0,0.0,1.0,0.08
6.0,4,1.0,0.0,1.0,0.08
7.0,4,1.0,0.0,1.0,0.08
8.0,4,1.0,0.0,1.0,0.08
9.0,4,1.0,0.0,1.0,0.08
10.0,4,1.0,0.0,1.0,0.08
11.0,4,1.0,0.0,1.0,0.08
12.0,4,1.0,0.0,1.0,0.08
13.0,4,1.0,0.0,1.0,0.08
14.0,4,1.0,0.0,1.0,0.08
15.0,4,1.0,0.0,1.0,0.08
16.0,4,1.0,0.0,1.0,0.08
17.0,4,1.0,0.0,1.0,0.08
18.0,4,1.0,0.0,1.0,0.08
19.0,4,1.0,0.0,1.0,0.08
20.0,4,1.0,0.0,1.0,0.08
21.0,4,0.77,0.0,1.0,0.08
22.0,4,0.7,0.0,1.0,0.08
23.0,4,0.69,0.0,1.0,0.08
24.0,4,0.54,0.5,1.0,0.08
25.0,4,0.52,0.5,1.0,0.08
26.0,4,0.46,0.5,1.0,0.08
27.0,4,0.0,1.0,1.0,1.024
28.0,4,0.38,1.0,1.0,1.024
29.0,4,0.4,1.0,1.0,1.024
30.0,4,0.0,1.0,1.0,1.28
31.0,4,0.0,3.5,1.0,1.28
32.0,4,0.4,3.5,1.0,1.28
33.0,4,0.0,3.5,1.0,1.28
34.0,4,0.0,3.5,1.0,0.512
35.0,4,0.0,3.5,1.0,0.48
36.0,4,0.0,3.5,1.0,0.48
37.0,4,0.0,3.5,1.0,0.48
38.0,4,0.0,3.5,1.0,0.48
39.0,4,0.0,3.5,1.0,0.32
40.0,4,0.0,3.5,1.0,0.32
41.0,4,0.0,3.5,1.0,0.256
42.0,4,0.53,3.5,1.0,0.256
43.0,4,0.53,3.5,1.0,0.32
44.0,4,0.55,3.5,1.0,0.48
45.0,4,0.55,3.5,1.0,0.512
46.0,4,0.15,3.0,1.0,0.512
47.0,4,0.16,3.0,1.0,0.512
48.0,4,0.39,3.0,1.0,0.64
49.0,4,0.39,3.0,1.0,0.64
50.0,4,0.4,3.0,1.0,0.64
51.0,4,0.0,1.0,1.0,0.64
52.0,4,0.38,1.0,1.0,0.64
53.0,4,0.36,1.0,1.0,1.024
54.0,4,0.0,1.0,1.0,0.64
55.0,4,0.38,1.0,1.0,0.64
56.0,4,0.0,1.0,1.0,0.64
57.0,4,0.0,1.0,1.0,0.64
58.0,4,0.0,1.0,1.0,0.64
59.0,4,0.0,1.0,1.0,0.64
60.0,4,0.0,1.0,1.0,0.64
61.0,4,0.0,3.5,1.0,0.64
62.0,4,0.01,3.5,1.0,0.64
63.0,4,0.0,3.5,1.0,0.64
64.0,4,0.0,3.5,1.0,0.64
65.0,4,0.0,3.5,1.0,0.64
66.0,4,0.0,3.0,1.0,0.64
67.0,4,0.0,3.0,1.0,0.64
68.0,4,0.0,3.0,1.0,0.64
69.0,4,0.0,3.0,1.0,0.64
70.0,4,0.0,3.0,1.0,0.64
71.0,4,0.0,3.5,1.0,0.64
72.0,4,0.0,3.5,1.0,0.64
73.0,4,0.01,3.5,1.0,0.64
74.0,4,0.01,3.5,1.0,0.64
75.0,4,0.0,3.5,1.0,1.024
76.0,4,0.0,1.0,1.0,1.024
77.0,4,0.0,1.0,1.0,1.024
78.0,4,0.42,1.0,1.0,1.024
79.0,4,0.01,1.0,1.0,0.64
80.0,4,0.13,1.0,1.0,0.64
81.0,4,0.13,2.5,1.0,0.64
82.0,4,0.52,2.5,1.0,0.64
83.0,4,0.53,2.5,1.0,0.64
84.0,4,0.51,2.5,1.0,0.64
85.0,4,0.34,2.5,1.0,0.64
86.0,4,0.0,1.5,1.0,0.64
87.0,4,0.0,1.5,1.0,0.64
88.0,4,0.01,1.5,1.0,0.64
89.0,4,0.24,1.5,1.0,0.64
90.0,4,0.0,1.5,1.0,0.64
91.0,4,0.28,3.0,1.0,0.64
92.0,4,0.24,3.0,1.0,1.024
93.0,4,0.25,3.0,1.0,1.024
94.0,4,0.2,3.0,1.0,1.024
95.0,4,0.2,3.0,1.0,1.024
96.0,4,0.0,3.5,1.0,1.024
97.0,4,0.35,3.5,1.0,1.024
98.0,4,0.0,3.5,1.0,1.024
99.0,4,0.0,3.5,1.0,1.024
100.0,4,0.01,3.5,1.0,1.024
101.0,4,0.0,1.5,1.0,1.024
102.0,4,0.0,1.5,1.0,1.024
103.0,4,0.0,1.5,1.0,1.024
104.0,4,0.0,1.5,1.0,1.024
105.0,4,0.0,1.5,1.0,1.024
106.0,4,0.0,3.5,1.0,1.024
107.0,4,0.0,3.5,1.0,1.024
108.0,4,0.0,3.5,1.0,1.024
109.0,4,0.0,3.5,1.0,0.64
110.0,4,0.0,3.5,1.0,0.64
111.0,4,0.0,3.5,1.0,0.64
112.0,4,0.0,3.5,1.0,0.64
113.0,4,0.0,3.5,1.0,0.64
114.0,4,0.0,3.5,1.0,0.64
115.0,4,0.49,3.5,1.0,0.64
