time,availability
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,1.0
17.0,1.0
18.0,0.9994736842105264
19.0,0.9989473684210527
20.0,0.8994736842105263
21.0,0.8342105263157894
22.0,0.7968421052631578
23.0,0.6978947368421052
24.0,0.5494736842105263
25.0,0.3878947368421053
26.0,0.28
27.0,0.1694736842105263
28.0,0.17421052631578945
29.0,0.11842105263157894
30.0,0.08105263157894738
31.0,0.12947368421052632
32.0,0.12947368421052632
33.0,0.0931578947368421
34.0,0.08263157894736843
35.0,0.08473684210526315
36.0,0.09473684210526315
37.0,0.08736842105263158
38.0,0.08842105263157894
39.0,0.10789473684210528
40.0,0.09105263157894737
41.0,0.13894736842105262
42.0,0.16894736842105262
43.0,0.11526315789473686
44.0,0.14
45.0,0.07526315789473685
46.0,0.06263157894736841
47.0,0.06631578947368422
48.0,0.06947368421052631
49.0,0.12526315789473683
50.0,0.05421052631578947
51.0,0.04894736842105263
52.0,0.07210526315789473
53.0,0.04473684210526316
54.0,0.041578947368421056
55.0,0.05473684210526316
56.0,0.07052631578947367
57.0,0.01
58.0,0.11578947368421054
59.0,0.05526315789473685
60.0,0.04368421052631579
61.0,0.14157894736842105
62.0,0.06368421052631579
63.0,0.05526315789473685
64.0,0.05263157894736842
65.0,0.08736842105263158
66.0,0.08368421052631578
67.0,0.12789473684210528
68.0,0.07842105263157895
69.0,0.048947368421052635
70.0,0.09263157894736843
71.0,0.042105263157894736
72.0,0.14157894736842105
73.0,0.09736842105263158
74.0,0.09368421052631577
75.0,0.11368421052631579
76.0,0.13052631578947368
77.0,0.21526315789473682
78.0,0.21736842105263157
79.0,0.20421052631578948
80.0,0.2026315789473684
81.0,0.228421052631579
82.0,0.22578947368421054
83.0,0.24315789473684216
84.0,0.24368421052631578
85.0,0.2157894736842105
86.0,0.29157894736842105
87.0,0.24578947368421053
88.0,0.21
89.0,0.2136842105263158
90.0,0.21842105263157896
91.0,0.29
92.0,0.3273684210526316
93.0,0.26894736842105266
94.0,0.27684210526315794
95.0,0.30105263157894735
96.0,0.2531578947368421
97.0,0.29947368421052634
98.0,0.2889473684210526
99.0,0.2705263157894737
100.0,0.23684210526315788
101.0,0.23368421052631577
102.0,0.24105263157894738
103.0,0.21473684210526317
104.0,0.2815789473684211
105.0,0.23736842105263156
106.0,0.23421052631578942
107.0,0.21947368421052632
108.0,0.21947368421052632
109.0,0.22578947368421054
110.0,0.1636842105263158
111.0,0.21052631578947367
112.0,0.17105263157894737
113.0,0.14789473684210527
114.0,0.1726315789473684
115.0,0.17842105263157895
116.0,0.15578947368421053
117.0,0.13052631578947366
118.0,0.13789473684210526
119.0,0.16789473684210526
120.0,0.1542105263157895
121.0,0.1831578947368421
122.0,0.12526315789473683
123.0,0.20105263157894737
124.0,0.16894736842105262
125.0,0.1636842105263158
126.0,0.15947368421052632
127.0,0.1857894736842105
128.0,0.17263157894736839
129.0,0.12315789473684212
130.0,0.12631578947368421
131.0,0.11105263157894739
132.0,0.16052631578947366
133.0,0.09105263157894737
134.0,0.12894736842105262
135.0,0.10842105263157895
136.0,0.13421052631578947
137.0,0.10421052631578949
138.0,0.13421052631578947
139.0,0.12789473684210526
140.0,0.11894736842105262
141.0,0.11947368421052632
142.0,0.1568421052631579
143.0,0.10999999999999999
144.0,0.12684210526315787
145.0,0.14526315789473684
146.0,0.09999999999999999
147.0,0.1236842105263158
148.0,0.15
149.0,0.16736842105263156
150.0,0.14210526315789473
151.0,0.18210526315789474
152.0,0.1505263157894737
153.0,0.1926315789473684
154.0,0.14526315789473684
155.0,0.14894736842105263
156.0,0.18736842105263157
157.0,0.18947368421052635
158.0,0.21631578947368418
159.0,0.2331578947368421
160.0,0.2226315789473684
161.0,0.21052631578947367
162.0,0.21578947368421056
163.0,0.2689473684210526
164.0,0.19999999999999998
165.0,0.2557894736842105
166.0,0.20526315789473687
167.0,0.25210526315789467
168.0,0.19526315789473683
169.0,0.1626315789473684
170.0,0.19052631578947365
171.0,0.17105263157894737
172.0,0.2168421052631579
173.0,0.17526315789473684
174.0,0.2063157894736842
175.0,0.23
176.0,0.22473684210526312
177.0,0.19
178.0,0.2121052631578947
179.0,0.20947368421052634
180.0,0.19842105263157891
181.0,0.25473684210526315
182.0,0.22736842105263158
183.0,0.2210526315789474
184.0,0.26210526315789473
185.0,0.2521052631578947
186.0,0.2552631578947368
187.0,0.22736842105263158
188.0,0.21789473684210525
189.0,0.27684210526315794
190.0,0.19368421052631582
191.0,0.2168421052631579
192.0,0.20894736842105263
193.0,0.15368421052631578
194.0,0.20315789473684212
195.0,0.1963157894736842
196.0,0.13736842105263158
197.0,0.1489473684210526
198.0,0.16578947368421051
199.0,0.12894736842105264
200.0,0.12894736842105264
201.0,0.11526315789473685
202.0,0.17473684210526316
203.0,0.1268421052631579
204.0,0.14157894736842105
205.0,0.12315789473684209
206.0,0.1336842105263158
207.0,0.13
208.0,0.18263157894736842
209.0,0.13526315789473684
210.0,0.15842105263157896
211.0,0.1794736842105263
212.0,0.1336842105263158
213.0,0.14947368421052634
214.0,0.13473684210526315
215.0,0.1726315789473684
216.0,0.17157894736842105
217.0,0.15526315789473685
218.0,0.15526315789473683
219.0,0.19368421052631576
220.0,0.15789473684210525
221.0,0.18526315789473688
222.0,0.1863157894736842
223.0,0.11578947368421054
224.0,0.13789473684210526
