time,current bs,availability,cio,hyst,ttt
0.0,8,1.0,0.0,1.0,0.08
1.0,8,1.0,0.0,1.0,0.08
2.0,8,1.0,0.0,1.0,0.08
3.0,8,1.0,0.0,1.0,0.08
4.0,8,1.0,0.0,1.0,0.08
5.0,8,1.0,0.0,1.0,0.08
6.0,8,1.0,0.0,1.0,0.08
7.0,8,1.0,0.0,1.0,0.08
8.0,8,1.0,0.0,1.0,0.08
9.0,8,1.0,0.0,1.0,0.08
10.0,8,1.0,0.0,1.0,0.08
11.0,8,1.0,0.0,1.0,0.08
12.0,8,1.0,0.0,1.0,0.08
13.0,8,1.0,0.0,1.0,0.08
14.0,8,1.0,0.0,1.0,0.08
15.0,8,1.0,0.0,1.0,0.08
16.0,8,1.0,0.0,1.0,0.08
17.0,8,1.0,0.0,1.0,0.08
18.0,8,1.0,0.0,1.0,0.08
19.0,8,1.0,0.0,1.0,0.08
20.0,8,1.0,0.0,1.0,0.08
21.0,8,0.99,0.0,1.0,0.08
22.0,8,0.99,0.0,1.0,0.08
23.0,8,0.99,3.5,1.0,0.08
24.0,8,0.97,0.0,1.0,5.12
25.0,8,0.71,0.0,1.0,5.12
26.0,8,0.7,0.0,1.0,5.12
27.0,8,0.71,0.0,1.0,1.024
28.0,8,0.69,0.0,1.0,1.024
29.0,8,0.69,0.0,1.0,1.024
30.0,8,0.45,1.0,1.0,1.024
31.0,8,0.44,1.0,1.0,1.28
32.0,8,0.46,1.0,1.0,1.28
33.0,8,0.45,1.0,1.0,1.28
34.0,8,0.48,0.5,1.0,1.28
35.0,8,0.42,1.0,1.0,2.56
36.0,8,0.42,1.0,1.0,2.56
37.0,8,0.43,1.0,1.0,2.56
38.0,8,0.43,1.0,1.0,2.56
39.0,8,0.43,1.0,1.0,2.56
40.0,8,0.06,3.0,1.0,1.024
41.0,8,0.46,0.5,1.0,1.024
42.0,8,0.07,3.0,1.0,1.024
43.0,8,0.47,0.5,1.0,1.024
44.0,8,0.47,0.5,1.0,1.024
45.0,8,0.48,0.5,1.0,1.024
46.0,8,0.48,0.5,1.0,1.024
47.0,8,0.47,0.5,1.0,1.024
48.0,8,0.47,0.5,1.0,1.28
49.0,8,0.49,0.5,1.0,1.28
50.0,8,0.49,0.5,1.0,1.28
51.0,8,0.47,0.5,1.0,1.024
52.0,8,0.51,0.5,1.0,1.024
53.0,8,0.49,0.5,1.0,1.024
54.0,8,0.0,3.5,1.0,1.024
55.0,8,0.0,2.0,1.0,1.024
56.0,8,0.0,3.5,1.0,1.024
57.0,8,0.0,3.5,1.0,1.024
58.0,8,0.0,3.5,1.0,1.28
59.0,8,0.0,3.5,1.0,1.28
60.0,8,0.0,3.5,1.0,1.28
61.0,8,0.0,3.5,1.0,1.28
62.0,8,0.0,3.5,1.0,2.56
63.0,8,0.27,2.0,1.0,1.28
64.0,8,0.0,3.5,1.0,1.28
65.0,8,0.0,3.5,1.0,1.28
66.0,8,0.01,3.0,1.0,2.56
67.0,8,0.01,3.0,1.0,2.56
68.0,8,0.01,3.0,1.0,2.56
69.0,8,0.81,0.0,1.0,2.56
70.0,8,0.0,3.5,1.0,2.56
71.0,8,0.0,3.5,1.0,2.56
72.0,8,0.4,1.0,1.0,2.56
73.0,8,0.39,1.0,1.0,2.56
74.0,8,0.39,1.0,1.0,2.56
75.0,8,0.8,0.0,1.0,2.56
76.0,8,0.8,0.0,1.0,2.56
77.0,8,0.8,0.0,1.0,2.56
78.0,8,0.83,0.0,1.0,2.56
79.0,8,0.84,0.0,1.0,2.56
80.0,8,0.83,0.0,1.0,2.56
81.0,8,0.83,0.0,1.0,2.56
82.0,8,0.87,0.0,1.0,2.56
83.0,8,0.86,0.0,1.0,2.56
84.0,8,0.86,0.0,1.0,2.56
85.0,8,0.83,0.0,1.0,2.56
86.0,8,0.83,0.0,1.0,2.56
87.0,8,0.72,0.0,1.0,2.56
88.0,8,0.72,0.0,1.0,2.56
89.0,8,0.72,0.0,1.0,2.56
90.0,8,0.72,0.0,1.0,2.56
91.0,8,0.71,0.0,1.0,2.56
92.0,8,0.31,1.5,1.0,2.56
93.0,8,0.32,1.5,1.0,2.56
94.0,8,0.32,1.5,1.0,2.56
95.0,8,0.54,0.0,1.0,2.56
96.0,8,0.55,0.0,1.0,1.28
97.0,8,0.66,0.0,1.0,1.28
98.0,8,0.66,0.0,1.0,1.28
99.0,8,0.66,0.0,1.0,1.28
100.0,8,0.6,0.0,1.0,1.28
101.0,8,0.6,0.0,1.0,1.28
102.0,8,0.61,0.0,1.0,1.28
103.0,8,0.61,0.0,1.0,1.28
104.0,8,0.61,0.0,1.0,1.28
105.0,8,0.61,0.0,1.0,1.28
106.0,8,0.6,0.0,1.0,1.28
107.0,8,0.59,0.0,1.0,1.28
108.0,8,0.58,0.0,1.0,1.28
109.0,8,0.58,0.0,1.0,1.28
110.0,8,0.58,0.0,1.0,1.28
111.0,8,0.58,0.0,1.0,1.28
112.0,8,0.58,0.0,1.0,1.28
113.0,8,0.41,0.0,1.0,1.28
114.0,8,0.41,1.0,1.0,1.28
115.0,8,0.39,1.0,1.0,1.28
116.0,8,0.39,1.0,1.0,1.28
117.0,8,0.38,1.0,1.0,1.28
118.0,8,0.38,1.0,1.0,1.28
119.0,8,0.38,1.0,1.0,1.28
120.0,8,0.37,1.0,1.0,1.28
121.0,8,0.38,1.0,1.0,1.28
122.0,8,0.37,1.0,1.0,1.28
123.0,8,0.37,1.0,1.0,1.28
124.0,8,0.14,1.0,1.0,1.28
125.0,8,0.14,2.5,1.0,1.28
126.0,8,0.52,0.5,1.0,1.28
127.0,8,0.12,2.5,1.0,1.28
128.0,8,0.52,2.5,1.0,1.28
129.0,8,0.0,0.5,1.0,1.28
130.0,8,0.0,3.5,1.0,1.28
131.0,8,0.7,0.0,1.0,1.28
132.0,8,0.0,3.5,1.0,1.28
133.0,8,0.7,3.5,1.0,1.28
134.0,8,0.0,0.0,1.0,1.28
135.0,8,0.0,3.5,1.0,1.28
136.0,8,0.67,0.0,1.0,1.28
