time,lb ratio
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,nan
11.0,nan
12.0,nan
13.0,nan
14.0,nan
15.0,nan
16.0,nan
17.0,nan
18.0,0.05263157894736842
19.0,0.10526315789473684
20.0,0.11460948078427431
21.0,0.2926239619814046
22.0,0.36624282038730527
23.0,0.5100908206504354
24.0,0.6677961597236064
25.0,0.8311384818071376
26.0,0.8825892231021679
27.0,0.898107691788754
28.0,0.9124888179050048
29.0,0.9294995497234013
30.0,0.9620067475963935
31.0,0.9727100698513081
32.0,0.9554465800930295
33.0,0.9745303121798728
34.0,0.951349879491211
35.0,0.9553721987318816
36.0,0.966692913438503
37.0,0.956700512748853
38.0,0.9373651675726422
39.0,0.9562863470160056
40.0,0.9450731622444535
41.0,0.94922715194012
42.0,0.9600139713398187
43.0,0.9462551687378816
44.0,0.9349616049768924
45.0,0.9410587612682042
46.0,0.9364515136918191
47.0,0.9755442595936828
48.0,0.954233320779466
49.0,0.975612887308714
50.0,0.9762526447196263
51.0,0.9631722748589303
52.0,0.9846896337041138
53.0,0.9731727789860615
54.0,0.966167400554264
55.0,0.9486877486799598
56.0,0.9806260754651112
57.0,0.9596772402116913
58.0,0.9813820547736136
59.0,0.9894782048529097
60.0,0.9897915944486319
61.0,0.9727403500869701
62.0,0.9622848607505908
63.0,0.957792978416104
64.0,0.9887254990339562
65.0,0.9861226770720661
66.0,0.986193649004424
67.0,0.9958679699281667
68.0,0.9866980742508675
69.0,0.9375110744002071
70.0,0.9673350806873147
71.0,0.9754108725607391
72.0,0.9548448031850508
73.0,0.9644131740107408
74.0,0.9767199133671547
75.0,0.9245656259026301
76.0,0.9187327709291447
77.0,0.9135510431687922
78.0,0.8961741260910235
79.0,0.9250028361606705
80.0,0.8599533381379575
81.0,0.9012598935311518
82.0,0.8981401249273953
83.0,0.8975398599458748
84.0,0.9014999912075544
85.0,0.8496292153077242
86.0,0.8110474653729908
87.0,0.8487193452635287
88.0,0.8172788063687082
89.0,0.8195371834746561
90.0,0.8327526276096319
91.0,0.8037297398379569
92.0,0.8221151960517926
93.0,0.8199753947236419
94.0,0.8511985051385863
95.0,0.8259644680386341
96.0,0.8025501636329824
97.0,0.8750824599941512
98.0,0.8075988896599585
99.0,0.8879211346586927
100.0,0.8619658696837167
101.0,0.8567432399590484
102.0,0.87054517906371
103.0,0.8348320500010964
104.0,0.8591812528900012
105.0,0.8431086683745757
106.0,0.8584052097107446
107.0,0.856821418815075
108.0,0.9028234507774512
109.0,0.8766955502634671
110.0,0.8898576508632268
111.0,0.917896407099558
112.0,0.9009470315034256
113.0,0.9222946747399472
114.0,0.9121004810086226
115.0,0.9381620426343467
116.0,0.9270630739034218
117.0,0.9163232924564275
118.0,0.9193107091351669
119.0,0.9441796691996246
120.0,0.9181927868976887
121.0,0.9379620244388026
122.0,0.9244928424512018
123.0,0.9271417741841802
124.0,0.9428646657105759
125.0,0.9484861890475159
126.0,0.9461784937182457
127.0,0.9335732129676942
128.0,0.9301636814700889
129.0,0.9084678796156285
130.0,0.9476692489773075
131.0,0.9067191928419178
132.0,0.9587201968697678
133.0,0.9498172609677642
134.0,0.9309172096616696
135.0,0.9673748394584842
136.0,0.9332214755459534
137.0,0.9313605088834024
138.0,0.9346923793767277
139.0,0.8996470100856989
140.0,0.945771727483816
141.0,0.9446987425521609
142.0,0.9382528109392942
143.0,0.9598050177256614
144.0,0.934428383451746
145.0,0.9342241238646046
146.0,0.9368070669203863
147.0,0.9260775302340813
148.0,0.9365282779223035
149.0,0.9123562101591379
150.0,0.958093358061765
151.0,0.9427273927096961
152.0,0.9360766120226757
153.0,0.9592276705662426
154.0,0.948298873592162
155.0,0.9496782471199458
156.0,0.9208578557816826
157.0,0.948670500005047
158.0,0.9234375425876965
159.0,0.952450258859698
160.0,0.9092862768130067
161.0,0.8963846933094832
162.0,0.9478003444321532
163.0,0.9010369922780952
164.0,0.9102205032710035
165.0,0.8411006645056865
166.0,0.9085050080604768
167.0,0.915070636314325
168.0,0.8311747547260973
169.0,0.894690784301939
170.0,0.8965862571959323
171.0,0.9289894254001161
172.0,0.8867253350040669
173.0,0.8595034352794647
174.0,0.836790041199248
175.0,0.8424973148434449
176.0,0.8737765069023166
177.0,0.8737502301163592
178.0,0.895429293329739
179.0,0.8738560687432869
180.0,0.8793477173179067
181.0,0.897271437521722
182.0,0.8684471272310081
183.0,0.8713676774660659
184.0,0.9120305182520236
185.0,0.8404891433907609
186.0,0.9282939081707596
187.0,0.8781523253095602
188.0,0.8351366859882541
189.0,0.8485907884996158
190.0,0.8907141844011623
191.0,0.8223692508976371
192.0,0.8698850867053084
193.0,0.8829387758881306
194.0,0.8284265224841535
195.0,0.9235436598268028
196.0,0.8515773226254115
197.0,0.8834904600850988
198.0,0.9437143590543736
199.0,0.9215100071777921
200.0,0.9062291080477098
201.0,0.8912681015787144
202.0,0.8869724681466683
203.0,0.88834845390601
204.0,0.9432656599723228
