time,current bs,availability,cio,hyst,ttt
0.0,9,1.0,0.0,1.0,0.08
1.0,9,1.0,0.0,1.0,0.08
2.0,9,1.0,0.0,1.0,0.08
3.0,9,1.0,0.0,1.0,0.08
4.0,9,1.0,0.0,1.0,0.08
5.0,9,1.0,0.0,1.0,0.08
6.0,9,1.0,0.0,1.0,0.08
7.0,9,1.0,0.0,1.0,0.08
8.0,9,1.0,0.0,1.0,0.08
9.0,9,1.0,0.0,1.0,0.08
10.0,9,1.0,0.0,1.0,0.08
11.0,9,1.0,0.0,1.0,0.08
12.0,9,1.0,0.0,1.0,0.08
13.0,9,1.0,0.0,1.0,0.08
14.0,9,1.0,0.0,1.0,0.08
15.0,9,1.0,0.0,1.0,0.08
16.0,9,1.0,0.0,1.0,0.08
17.0,9,1.0,0.0,1.0,0.08
18.0,9,1.0,0.0,1.0,0.08
19.0,9,1.0,0.0,1.0,0.08
20.0,9,0.0,0.0,1.0,0.08
21.0,9,0.0,0.0,1.0,0.08
22.0,9,0.0,3.5,1.0,5.12
23.0,9,0.0,3.5,1.0,0.32
24.0,9,0.0,3.5,1.0,1.024
25.0,9,0.0,3.5,1.0,1.024
26.0,9,0.0,3.5,1.0,0.512
27.0,9,0.0,3.5,1.0,0.64
28.0,9,0.0,3.5,1.0,0.512
29.0,9,0.0,3.5,1.0,0.512
30.0,9,0.0,3.5,1.0,0.48
31.0,9,0.0,3.5,1.0,0.48
32.0,9,0.0,3.5,1.0,0.512
33.0,9,0.0,3.5,1.0,0.512
34.0,9,0.0,3.5,1.0,0.64
35.0,9,0.0,3.5,1.0,0.64
36.0,9,0.0,3.5,1.0,0.64
37.0,9,0.0,3.5,1.0,0.64
38.0,9,0.0,3.5,1.0,0.64
39.0,9,0.0,3.5,1.0,1.024
40.0,9,0.0,3.5,1.0,1.024
41.0,9,0.0,3.5,1.0,1.024
42.0,9,0.0,3.5,1.0,1.024
43.0,9,0.0,3.5,1.0,1.024
44.0,9,0.0,3.5,1.0,1.024
45.0,9,0.58,3.5,1.0,1.024
46.0,9,0.0,3.5,1.0,1.024
47.0,9,0.0,3.5,1.0,1.024
48.0,9,0.0,3.5,1.0,1.024
49.0,9,0.0,3.5,1.0,1.024
50.0,9,0.0,3.5,1.0,1.024
51.0,9,0.0,3.5,1.0,1.28
52.0,9,0.0,3.5,1.0,1.28
53.0,9,0.0,3.5,1.0,1.28
54.0,9,0.0,3.5,1.0,1.024
55.0,9,0.0,3.5,1.0,1.024
56.0,9,0.0,3.5,1.0,1.024
57.0,9,0.0,3.5,1.0,1.024
58.0,9,0.0,3.5,1.0,1.024
59.0,9,0.0,3.5,1.0,1.024
60.0,9,0.0,3.5,1.0,1.024
61.0,9,0.0,3.5,1.0,1.024
62.0,9,0.0,3.5,1.0,1.024
63.0,9,0.0,3.5,1.0,1.024
64.0,9,0.0,3.5,1.0,1.024
65.0,9,0.0,3.5,1.0,1.024
66.0,9,0.0,3.5,1.0,1.024
67.0,9,0.0,3.5,1.0,1.024
68.0,9,0.0,3.0,1.0,1.024
69.0,9,0.0,3.5,1.0,1.28
70.0,9,0.02,3.0,1.0,1.28
71.0,9,0.0,3.5,1.0,1.28
72.0,9,0.02,3.0,1.0,1.28
73.0,9,0.0,3.5,1.0,1.28
74.0,9,0.0,3.5,1.0,1.28
75.0,9,0.0,3.5,1.0,1.28
76.0,9,0.0,3.5,1.0,1.28
77.0,9,0.01,3.0,1.0,1.28
78.0,9,0.0,3.5,1.0,1.28
79.0,9,0.21,2.0,1.0,1.28
80.0,9,0.0,3.5,1.0,1.28
81.0,9,0.0,3.5,1.0,1.28
82.0,9,0.0,3.5,1.0,1.28
83.0,9,0.0,3.5,1.0,1.28
84.0,9,0.0,3.5,1.0,1.28
85.0,9,0.35,1.5,1.0,1.28
86.0,9,0.84,0.0,1.0,1.28
87.0,9,0.84,0.0,1.0,1.28
88.0,9,0.83,0.0,1.0,1.28
89.0,9,0.82,0.0,1.0,1.28
90.0,9,0.81,0.0,1.0,1.28
91.0,9,0.0,3.5,1.0,1.28
92.0,9,0.81,0.0,1.0,1.28
93.0,9,0.8,0.0,1.0,1.28
94.0,9,0.8,0.0,1.0,1.28
95.0,9,0.83,0.0,1.0,1.28
96.0,9,0.83,0.0,1.0,1.28
97.0,9,0.0,3.5,1.0,1.28
98.0,9,0.85,0.0,1.0,1.28
99.0,9,0.0,3.5,1.0,1.28
100.0,9,0.37,0.0,1.0,1.28
