time,current bs,availability,cio,hyst,ttt
0.0,6,1.0,0.0,1.0,0.08
1.0,6,1.0,0.0,1.0,0.08
2.0,6,1.0,0.0,1.0,0.08
3.0,6,1.0,0.0,1.0,0.08
4.0,6,1.0,0.0,1.0,0.08
5.0,6,1.0,0.0,1.0,0.08
6.0,6,1.0,0.0,1.0,0.08
7.0,6,1.0,0.0,1.0,0.08
8.0,6,1.0,0.0,1.0,0.08
9.0,6,1.0,0.0,1.0,0.08
10.0,6,1.0,0.0,1.0,0.08
11.0,6,1.0,0.0,1.0,0.08
12.0,6,1.0,0.0,1.0,0.08
13.0,6,1.0,0.0,1.0,0.08
14.0,6,1.0,0.0,1.0,0.08
15.0,6,1.0,0.0,1.0,0.08
16.0,6,1.0,0.0,1.0,0.08
17.0,6,1.0,0.0,1.0,0.08
18.0,6,1.0,0.0,1.0,0.08
19.0,6,1.0,0.0,1.0,0.08
20.0,6,1.0,0.0,1.0,0.08
21.0,6,0.99,0.0,1.0,0.08
22.0,6,0.98,0.0,1.0,0.08
23.0,6,0.87,0.0,1.0,0.08
24.0,6,0.87,0.0,1.0,0.08
25.0,6,0.85,0.0,1.0,0.08
26.0,6,0.0,3.5,1.0,0.08
27.0,6,0.0,3.5,1.0,0.1
28.0,6,0.0,3.5,1.0,0.32
29.0,6,0.0,3.5,1.0,0.32
30.0,6,0.0,3.5,1.0,0.32
31.0,6,0.0,3.5,1.0,0.48
32.0,6,0.0,3.5,1.0,0.32
33.0,6,0.02,3.0,1.0,0.48
34.0,6,0.08,3.0,1.0,0.48
35.0,6,0.23,2.0,1.0,0.48
36.0,6,0.23,2.0,1.0,0.48
37.0,6,0.28,2.0,1.0,0.512
38.0,6,0.28,1.5,1.0,0.512
39.0,6,0.34,1.5,1.0,0.512
40.0,6,0.33,1.5,1.0,0.512
41.0,6,0.37,1.0,1.0,0.512
42.0,6,0.39,1.0,1.0,0.512
43.0,6,0.44,1.0,1.0,0.512
44.0,6,0.47,3.5,1.0,0.48
45.0,6,0.0,0.5,1.0,0.48
46.0,6,0.48,0.5,1.0,0.48
47.0,6,0.0,3.5,1.0,0.48
48.0,6,0.0,0.5,1.0,0.48
49.0,6,0.33,3.0,1.0,0.512
50.0,6,0.0,3.5,1.0,0.512
51.0,6,0.3,1.5,1.0,0.512
52.0,6,0.0,3.5,1.0,0.64
53.0,6,0.0,2.0,1.0,0.64
54.0,6,0.23,3.5,1.0,0.512
55.0,6,0.4,3.5,1.0,0.64
56.0,6,0.0,3.0,1.0,0.64
57.0,6,0.0,3.5,1.0,0.64
58.0,6,0.11,2.5,1.0,0.64
59.0,6,0.34,3.5,1.0,0.64
60.0,6,0.01,3.0,1.0,0.64
61.0,6,0.0,3.5,1.0,0.64
62.0,6,0.12,2.5,1.0,1.024
63.0,6,0.0,3.5,1.0,1.024
64.0,6,0.18,2.5,1.0,1.024
65.0,6,0.0,3.5,1.0,1.024
66.0,6,0.04,3.0,1.0,1.024
67.0,6,0.0,3.5,1.0,1.024
68.0,6,0.0,3.5,1.0,1.024
69.0,6,0.0,3.5,1.0,1.024
70.0,6,0.0,3.5,1.0,1.024
71.0,6,0.33,1.5,1.0,1.024
72.0,6,0.0,3.5,1.0,1.024
73.0,6,0.25,2.0,1.0,1.024
74.0,6,0.0,3.5,1.0,1.024
75.0,6,0.14,2.5,1.0,1.024
76.0,6,0.13,2.5,1.0,1.024
77.0,6,0.0,3.5,1.0,1.024
78.0,6,0.63,0.0,1.0,1.024
79.0,6,0.0,3.5,1.0,1.024
80.0,6,0.66,0.0,1.0,1.024
81.0,6,0.37,1.0,1.0,1.024
82.0,6,0.37,1.0,1.0,1.024
83.0,6,0.37,1.0,1.0,1.024
84.0,6,0.38,1.0,1.0,1.024
85.0,6,0.78,0.0,1.0,1.024
86.0,6,0.78,0.0,1.0,1.024
87.0,6,0.78,0.0,1.0,1.024
88.0,6,0.77,0.0,1.0,1.024
89.0,6,0.78,0.0,1.0,1.024
90.0,6,0.79,0.0,1.0,1.024
91.0,6,0.79,0.0,1.0,1.024
92.0,6,0.79,0.0,1.0,1.024
93.0,6,0.79,0.0,1.0,1.024
94.0,6,0.79,0.0,1.0,1.024
95.0,6,0.8,0.0,1.0,1.024
96.0,6,0.8,0.0,1.0,1.024
97.0,6,0.78,0.0,1.0,1.024
98.0,6,0.79,0.0,1.0,1.024
99.0,6,0.76,0.0,1.0,1.024
100.0,6,0.53,0.5,1.0,1.024
101.0,6,0.92,0.5,1.0,1.024
102.0,6,0.91,0.0,1.0,1.024
103.0,6,0.9,0.0,1.0,1.024
104.0,6,0.89,0.0,1.0,1.024
105.0,6,0.89,0.0,1.0,1.024
106.0,6,0.89,0.0,1.0,1.024
107.0,6,0.72,0.0,1.0,1.024
108.0,6,0.0,3.5,1.0,1.024
109.0,6,0.79,0.0,1.0,1.024
110.0,6,0.79,0.0,1.0,1.024
111.0,6,0.79,0.0,1.0,1.024
112.0,6,0.83,0.0,1.0,1.024
113.0,6,0.83,0.0,1.0,1.024
114.0,6,0.84,0.0,1.0,1.024
115.0,6,0.84,0.0,1.0,1.024
116.0,6,0.85,0.0,1.0,1.024
117.0,6,0.85,0.0,1.0,1.024
118.0,6,0.86,0.0,1.0,1.024
119.0,6,0.85,0.0,1.0,1.024
120.0,6,0.69,0.0,1.0,1.024
121.0,6,0.68,0.0,1.0,0.64
122.0,6,0.68,0.0,1.0,0.64
123.0,6,0.68,0.0,1.0,0.64
124.0,6,0.75,0.0,1.0,0.64
125.0,6,0.76,0.0,1.0,0.64
126.0,6,0.35,1.5,1.0,0.64
127.0,6,0.78,0.0,1.0,0.64
128.0,6,0.38,0.0,1.0,0.64
129.0,6,0.38,1.0,1.0,0.64
130.0,6,0.38,1.0,1.0,0.64
131.0,6,0.37,1.0,1.0,0.64
132.0,6,0.38,1.0,1.0,0.64
133.0,6,0.39,1.0,1.0,0.64
134.0,6,0.62,0.0,1.0,0.64
135.0,6,0.62,0.0,1.0,0.64
136.0,6,0.62,0.0,1.0,0.64
137.0,6,0.62,0.0,1.0,0.64
138.0,6,0.62,0.0,1.0,0.64
139.0,6,0.67,0.0,1.0,0.64
140.0,6,0.66,0.0,1.0,0.64
141.0,6,0.66,0.0,1.0,0.64
142.0,6,0.66,0.0,1.0,0.64
143.0,6,0.65,0.0,1.0,0.64
144.0,6,0.66,0.0,1.0,0.64
145.0,6,0.67,0.0,1.0,0.64
146.0,6,0.66,0.0,1.0,0.64
147.0,6,0.67,0.0,1.0,0.64
148.0,6,0.66,0.0,1.0,0.64
149.0,6,0.66,0.0,1.0,0.64
150.0,6,0.66,0.0,1.0,0.64
151.0,6,0.63,0.0,1.0,0.64
152.0,6,0.63,0.0,1.0,0.64
153.0,6,0.64,0.0,1.0,0.64
154.0,6,0.57,0.0,1.0,0.64
155.0,6,0.58,0.0,1.0,0.64
156.0,6,0.59,0.0,1.0,0.64
157.0,6,0.59,0.0,1.0,0.64
158.0,6,0.36,0.0,1.0,0.64
159.0,6,0.0,3.5,1.0,0.64
160.0,6,0.77,0.0,1.0,0.64
161.0,6,0.77,3.5,1.0,0.64
162.0,6,0.0,3.5,1.0,0.64
163.0,6,0.79,0.0,1.0,0.64
164.0,6,0.0,0.0,1.0,0.64
165.0,6,0.76,0.0,1.0,0.64
166.0,6,0.0,0.0,1.0,0.64
167.0,6,0.74,0.0,1.0,0.64
168.0,6,0.8,0.0,1.0,0.64
169.0,6,0.81,3.5,1.0,0.64
170.0,6,0.8,0.0,1.0,0.64
171.0,6,0.0,0.0,1.0,0.64
172.0,6,0.91,0.0,1.0,0.64
173.0,6,0.91,0.0,1.0,0.64
174.0,6,0.92,3.5,1.0,0.64
175.0,6,0.93,0.0,1.0,0.64
176.0,6,0.89,0.0,1.0,0.64
177.0,6,0.89,0.0,1.0,0.64
178.0,6,0.88,0.0,1.0,0.64
179.0,6,0.89,0.0,1.0,0.64
180.0,6,0.88,0.0,1.0,0.64
181.0,6,0.88,0.0,1.0,0.64
182.0,6,0.87,0.0,1.0,0.64
183.0,6,0.88,0.0,1.0,0.64
184.0,6,0.0,0.0,1.0,0.64
185.0,6,0.91,3.5,1.0,0.64
186.0,6,0.0,0.0,1.0,0.64
187.0,6,0.9,0.0,1.0,0.64
188.0,6,0.78,0.0,1.0,0.64
189.0,6,0.77,0.0,1.0,0.64
190.0,6,0.76,0.0,1.0,0.64
191.0,6,0.74,0.0,1.0,0.64
192.0,6,0.75,0.0,1.0,0.64
193.0,6,0.75,0.0,1.0,0.64
194.0,6,0.76,0.0,1.0,0.64
195.0,6,0.0,3.5,1.0,0.64
196.0,6,0.78,0.0,1.0,0.64
197.0,6,0.75,0.0,1.0,0.64
198.0,6,0.35,1.5,1.0,0.64
199.0,6,0.36,1.5,1.0,0.64
200.0,6,0.36,1.5,1.0,0.64
201.0,6,0.6,0.0,1.0,0.64
202.0,6,0.0,3.5,1.0,0.64
203.0,6,0.62,0.0,1.0,0.64
204.0,6,0.61,0.0,1.0,0.64
205.0,6,0.67,0.0,1.0,0.64
206.0,6,0.0,0.0,1.0,0.64
207.0,6,0.69,3.5,1.0,0.64
208.0,6,0.69,0.0,1.0,0.64
209.0,6,0.72,1.5,1.0,0.64
210.0,6,0.32,0.0,1.0,0.64
211.0,6,0.0,3.5,1.0,0.64
212.0,6,0.0,3.5,1.0,0.64
213.0,6,0.0,3.5,1.0,0.64
214.0,6,0.0,3.5,1.0,0.64
215.0,6,0.0,3.5,1.0,0.64
216.0,6,0.0,3.5,1.0,0.64
217.0,6,0.0,3.5,1.0,0.64
218.0,6,0.0,3.5,1.0,0.64
219.0,6,0.0,3.5,1.0,0.64
220.0,6,0.0,3.5,1.0,0.64
221.0,6,0.0,3.5,1.0,0.64
222.0,6,0.78,3.5,1.0,0.64
223.0,6,0.0,1.0,1.0,0.64
224.0,6,0.8,3.5,1.0,0.64
225.0,6,0.79,0.0,1.0,0.64
226.0,6,0.79,3.5,1.0,0.64
227.0,6,0.0,0.0,1.0,0.64
228.0,6,0.78,3.5,1.0,0.64
229.0,6,0.0,0.0,1.0,0.64
230.0,6,0.78,3.5,1.0,0.64
231.0,6,0.0,0.0,1.0,0.64
232.0,6,0.78,3.5,1.0,0.64
233.0,6,0.75,0.0,1.0,0.64
234.0,6,0.32,1.5,1.0,0.64
