time,satisfaction
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,nan
11.0,nan
12.0,nan
13.0,nan
14.0,nan
15.0,nan
16.0,nan
17.0,nan
18.0,1.0
19.0,1.0
20.0,0.9325428571428571
21.0,0.9818384615384615
22.0,0.9861117647058824
23.0,0.976984625
24.0,0.9837341010101011
25.0,0.9791824213333332
26.0,0.9622154494623655
27.0,0.9246002275799087
28.0,0.9076304003433477
29.0,0.9029597484773662
30.0,0.8886393536758893
31.0,0.885732663125
32.0,0.9125974346564886
33.0,0.891291961060606
34.0,0.8851458862121211
35.0,0.8850884719391635
36.0,0.8890403554372625
37.0,0.9006773946768061
38.0,0.9039249595419847
39.0,0.8937137269961977
40.0,0.8939186882129277
41.0,0.8876499574144486
42.0,0.8816852141984732
43.0,0.8757072496969697
44.0,0.8626403236363637
45.0,0.8760401811320754
46.0,0.8696409930827068
47.0,0.8715550686792451
48.0,0.8535383541573034
49.0,0.8529955522058823
50.0,0.8537583719272727
51.0,0.8381953017266187
52.0,0.8198764060215054
53.0,0.8468841681428572
54.0,0.8446588523843417
55.0,0.8475898
56.0,0.846178294
57.0,0.8460818957142857
58.0,0.8537573171223022
59.0,0.8354305011594202
60.0,0.8482898359124087
61.0,0.8264823832352941
62.0,0.8487037767032967
63.0,0.8424130798529411
64.0,0.8446771959701492
65.0,0.8407078771428572
66.0,0.8541090353558053
67.0,0.8476305743703704
68.0,0.8357303031343283
69.0,0.8330925494423792
70.0,0.8595455044444444
71.0,0.8600130176779026
72.0,0.8462756745660377
73.0,0.8710117243076922
74.0,0.8782093201556421
75.0,0.8748876997609562
76.0,0.9124034669918699
77.0,0.905402119327731
78.0,0.9034273582683982
79.0,0.9257118531578947
80.0,0.936390701883408
81.0,0.93813711239819
82.0,0.9493157183098592
83.0,0.9466282761111111
84.0,0.9533269862264151
85.0,0.9511020914553989
86.0,0.9594781967619047
87.0,0.961909622857143
88.0,0.9607517738536585
89.0,0.9470278450761421
90.0,0.947333549072165
91.0,0.9566372107614214
92.0,0.9633506414358974
93.0,0.9525066475897436
94.0,0.9446943757948717
95.0,0.9528868588
96.0,0.9409566208
97.0,0.9441832898000001
98.0,0.9345917692156863
99.0,0.9339270252336448
100.0,0.9226047119266055
101.0,0.8867778458447488
102.0,0.9207932935159817
103.0,0.9045229923636363
104.0,0.9031451399111111
105.0,0.8922957326126126
106.0,0.9216859187387387
107.0,0.9093611508928571
108.0,0.9236862179555555
109.0,0.9348382824561404
110.0,0.9158320406956522
111.0,0.9032201418803419
112.0,0.9082369589873418
113.0,0.8909856129957806
114.0,0.883734712680851
115.0,0.8774651611914894
116.0,0.8849816241702126
117.0,0.8843458552542373
118.0,0.8768022778242678
119.0,0.8741726728333333
120.0,0.8884671341666668
121.0,0.8746372763179916
122.0,0.9039782654545454
123.0,0.9007201692946057
124.0,0.9177618476033057
125.0,0.9335862437704918
126.0,0.9127933303703704
127.0,0.916515738600823
128.0,0.9350606595918367
129.0,0.9164520632931727
130.0,0.9255392941935483
131.0,0.9472755470916335
132.0,0.9303969128571429
133.0,0.9547297898795182
134.0,0.95284416736
135.0,0.9476872068016196
136.0,0.947591473944223
137.0,0.9342481201587302
138.0,0.9499199517131475
139.0,0.9356204408130081
140.0,0.9442153702439023
141.0,0.93335167872
142.0,0.9295114820553361
143.0,0.9105560715294116
144.0,0.9055267623255815
145.0,0.9041905409448818
146.0,0.8997446957480314
147.0,0.8922548893385214
148.0,0.8996173190588236
149.0,0.8991442767567568
150.0,0.888431058888889
151.0,0.8808768344
152.0,0.89486045616
153.0,0.8973462197530864
154.0,0.8895540396652719
155.0,0.9031225686808512
156.0,0.8926981278632479
157.0,0.9205078727753304
158.0,0.9293184335371178
159.0,0.9123689653333334
160.0,0.9137854401739129
161.0,0.9393214553846153
162.0,0.9422295117948718
163.0,0.9309785031759656
164.0,0.9417045269868997
165.0,0.9587440533920705
166.0,0.9529490196363637
167.0,0.9612018157142858
168.0,0.9562316787443946
169.0,0.9651167214349776
170.0,0.9372277877477477
171.0,0.9247769042152467
172.0,0.9254282306607929
173.0,0.9256929404329004
174.0,0.9149772546255506
175.0,0.9157328422707424
176.0,0.9300317647863249
177.0,0.9108166663247863
178.0,0.9300541779661018
179.0,0.9324360495397489
180.0,0.9216481847698744
181.0,0.9321988264435146
182.0,0.9106077386008231
183.0,0.9295676613991768
184.0,0.9324127870445345
185.0,0.9136764295081968
186.0,0.9229937869387754
187.0,0.9319783021862349
188.0,0.9100226625306123
189.0,0.9126276999999999
190.0,0.9286178363934426
191.0,0.9082909137190083
192.0,0.916985672
193.0,0.9130480669354839
194.0,0.9228897618410041
195.0,0.903352530894309
196.0,0.9267270890836653
197.0,0.9385137577419355
198.0,0.9166435497975709
199.0,0.9424688094693878
200.0,0.9458533796774194
201.0,0.9403240466666666
202.0,0.9656260784189723
203.0,0.9363631292800001
204.0,0.9474847091338582
205.0,0.9427013371653544
