time,current bs,user,conn_sinr,x pos,y pos
18.240000000000123,11,351,-16.273105410980108,-924.7583041728008,-1068.6279879057565
18.250000000000124,11,351,-16.273105410980108,-925.0076401732755,-1068.6461966637394
18.490000000000126,16,13,-11.117540063912642,446.9730329971821,3960.510175096437
18.500000000000128,16,13,-11.117540063912642,448.1355615418899,3960.96955226472
19.040000000000134,10,34,-7.930963425071454,-1578.8261577223677,1824.7359377183125
19.050000000000136,10,34,-7.930963425071454,-1579.3560871340112,1823.6038269380992
29.200000000000244,10,66,-8.550367323945224,-1574.8253880484751,1778.4704075184316
29.20000000000028,10,66,-8.550367323945224,-1576.0686562955566,1778.3408541865592
31.90000000000032,1,38,-14.916968175340614,1008.3824279496265,1005.2084037215618
37.25000000000002,14,113,-33.33057408902181,454.1178373565816,-849.2053319621289
39.3499999999999,1,321,-9.134614151958075,993.0292593508823,1005.7311303023134
40.98999999999985,12,7,-20.08433224357907,-1474.6203684279403,1859.186803018288
40.99999999999981,12,7,-20.08433224357907,-1474.8286961061185,1859.3250042429745
41.44999999999978,16,5,-36.53670537949523,-974.8910681412315,3037.824265562154
50.24999999999928,16,157,-38.28624688214563,417.8853438334704,3992.149818711363
52.76999999999923,15,32,-14.073573640684558,3010.7943971169875,-974.950581026109
52.79999999999914,15,32,-14.073573640684558,3010.6345282630596,-975.1427839125175
54.03999999999911,14,351,-26.20642006389818,-922.1524140316644,-938.4780276711604
54.049999999999066,14,351,-26.20642006389818,-922.0771434613846,-938.2396281299491
57.839999999998895,12,29,-12.216878389031066,-1462.817195481808,142.46962934203216
57.84999999999885,12,29,-12.216878389031066,-1462.8588280388153,142.22312025457893
57.99999999999884,3,244,-19.80086342435503,897.1743147570601,-688.7429268090647
59.19999999999881,12,293,-27.440225476478815,-1503.2762613372208,1861.7101400839663
59.24999999999877,12,293,-27.440225476478815,-1504.4791973687556,1861.3703682428209
63.049999999998555,7,92,-24.800852320002434,-197.97211262497066,990.3011170420464
72.02999999999913,9,32,-11.479724689452652,2949.244888354728,-1048.9486922933797
72.04999999999805,9,32,-11.479724689452652,2949.0850195008,-1049.1408951797882
74.23999999999819,12,99,-10.697042621013154,-1485.872464669304,1868.9997241073045
74.24999999999793,12,99,-10.697042621013154,-1484.6555350695398,1868.7140978668822
77.689999999998,11,147,-23.123346742013098,-888.7719881858611,-1059.8868182690137
77.69999999999773,11,147,-23.123346742013098,-888.1316334004282,-1060.9603385290802
100.34999999999644,19,102,-5.686508736214691,342.2272530203973,3946.376215997299
100.3899999999967,19,157,-36.0147898667567,1670.1156091130836,3966.1572675160796
100.39999999999644,19,157,-36.0147898667567,1671.3653399167558,3966.131326846224
107.68999999999629,11,298,-14.991000249892622,-925.1047886230915,-1095.5006140644577
107.69999999999602,11,298,-14.991000249892622,-924.961487928931,-1095.295760675291
115.48999999999585,12,63,-16.628378146059262,-1536.8795457951394,1870.3934516057668
115.49999999999558,12,63,-16.628378146059262,-1537.7329236697226,1869.4800808140444
115.84999999999556,8,1,-10.296637035213323,2940.1576358232696,1356.4045277580465
120.5499999999953,9,187,-21.150717872240534,2809.28169018502,-203.0774250134508
129.23999999999464,10,260,-1.0046172279811145,-172.16678889290588,1609.3635901638822
129.24999999999514,10,260,-1.0046172279811145,-172.4083762394802,1609.4278984368739
